-3.091594209173041397e-01,-1.216875816132606397e-01,-4.249250243678965450e-02,9.422350938995281977e-01,8.250730989259474901e-01,9.029780352538792076e-01,7.752182713665303204e-01,-5.237210263437712676e-01,1.038868313697705464e-01,1.507909152044623613e-01,2.282883711492018908e-01,4.457877597038625850e-02,-2.398120372648213788e-02,-5.293353713867262611e-01,9.906085178647167089e-02,1.050595691659955838e-01,1.107401373752377322e-01,8.538137581455843006e-02,-7.110498647246898951e-02,-3.660188783994469675e-02,-1.391189617565319059e-01,4.679998676551409553e-01,-2.357528826458067106e-01,1.953670481627290678e-01,2.740043430135434277e-01,7.266231520543252609e-01,3.064026287045830757e-02,1.924340346320289330e-01,4.499322810952769564e-02,1.859612669671401042e-01,5.916398950864194123e-02,-2.353822639708513104e-02,3.153575737590197381e-01,3.693801599874381534e-03,1.018474872763284050e-01,1.058137071429061590e-02
-2.974628929339918071e-01,-9.554632648372789194e-02,-3.457488039945623426e-02,9.493109629979887831e-01,8.155407363340667626e-01,9.037328290916922802e-01,7.693028501254522977e-01,-5.346651527933973247e-01,1.430310214648489175e-01,1.556145039043153044e-01,4.189943720646416292e-01,-7.244325723413566620e-02,-3.273266424412846903e-02,-5.607121607680749520e-01,1.322489686446035317e-01,8.609922205320288957e-02,3.205378967191774287e-01,-2.539799929936615089e-02,-8.930823004343541038e-02,-2.145610007931971278e-02,-1.948768312893680577e-01,4.679999898304615380e-01,-2.416678729434444672e-01,2.262176380112668750e-01,3.144703698986987539e-01,8.432767463410368869e-01,3.633472374247171538e-02,2.064153168984460829e-01,4.499964842523066638e-02,3.628211719765007948e-02,7.594380094988624486e-02,-2.147928801896251128e-02,4.679341030458469830e-01,5.701795491221329192e-03,1.404488874502430318e-01,1.739575081519925681e-02
-2.844638169209351419e-01,-5.950728767748232617e-02,-2.792906724015626480e-02,9.564304401152949886e-01,8.092323960515807046e-01,9.041142950703741077e-01,7.632849300318249597e-01,-4.975401643436274668e-01,1.813705344861451796e-01,1.464704349150235396e-01,5.473024879527921271e-01,-1.665359421932733064e-01,-5.858859516588036526e-02,-5.367050052742002864e-01,1.671431090846201839e-01,7.171722707723862666e-02,4.523473338876066729e-01,-1.237698195195201939e-01,-1.171723849701063330e-01,8.227520264826914190e-03,-2.096758888765937745e-01,4.679999980459744191e-01,-2.476183942399512450e-01,2.468462111513535784e-01,3.449093336894642481e-01,9.178401696733692328e-01,4.125342354067047801e-02,2.009550636034665161e-01,4.499992513949243461e-02,1.026863274871502203e-02,8.315726759782007815e-02,-2.425681179042056546e-02,5.479014572347334910e-01,6.319023826073538568e-03,1.560788470390988836e-01,2.041552833390425023e-02
-2.731156656402449201e-01,-3.671710704783619217e-02,-2.434822954182805366e-02,9.609718263040296637e-01,8.033054297111174025e-01,9.022365696773578803e-01,7.590895990469337384e-01,-4.630240239870549446e-01,2.049932946721406690e-01,1.378191621847456583e-01,6.176070940152150746e-01,-2.232218839801481391e-01,-7.334233116532347385e-02,-5.138924878789443706e-01,1.909491634184526387e-01,6.206059974654771355e-02,5.278718680878129454e-01,-1.937741080568314289e-01,-1.438149914385634387e-01,3.341458343496254285e-02,-2.097090346337273925e-01,4.679998167383644381e-01,-2.459931508474102191e-01,2.535627286765868571e-01,3.650181835683284359e-01,9.697617724550277041e-01,4.437667308264697796e-02,1.858213140950072673e-01,4.499349522405012708e-02,1.284011893844087988e-02,9.026429280994523185e-02,-2.042482861071219166e-02,5.928054568656528911e-01,6.958977211942209314e-03,1.621036964079990983e-01,2.314938565424385156e-02
-2.646125157958411078e-01,-1.690918967905619130e-02,-2.126779281299291322e-02,9.639719792491153738e-01,7.972496610057081545e-01,9.012910798237020460e-01,7.556437040803605232e-01,-4.264460687611165701e-01,2.237863880217622059e-01,1.307972185554135969e-01,6.650814970784150182e-01,-2.655995215670086118e-01,-8.680773573612927951e-02,-4.858807691263180573e-01,2.087868178442285061e-01,4.930879799070078673e-02,5.780530847167991704e-01,-2.446203275866828120e-01,-1.651148522072787284e-01,5.438783265908770509e-02,-2.146899871973982077e-01,4.679999985542967478e-01,-2.415643749582598310e-01,2.585357300932797364e-01,3.825785057825645818e-01,1.012008060529728581e+00,4.691783576564927116e-02,1.686384092579788774e-01,4.499994082409040919e-02,2.110153031600080914e-02,9.752943963702626062e-02,-1.494849930358878136e-02,6.199246364604599213e-01,7.504251758102328286e-03,1.644487159099435325e-01,2.530460498192885904e-02
-2.581026971821550609e-01,-1.241979314495676289e-03,-1.927392947162414466e-02,9.659244125900338096e-01,7.929473953058571167e-01,8.994639611211334707e-01,7.543507334758733363e-01,-3.892922001747108340e-01,2.352099607922811253e-01,1.266178123022193291e-01,6.857109579945647182e-01,-2.910520444978005328e-01,-9.544837400390382420e-02,-4.552870882580558054e-01,2.209006834028197919e-01,4.186527015618716346e-02,6.020579057581558757e-01,-2.826460019761141695e-01,-1.813602175461279664e-01,7.121700501548133833e-02,-2.102439746172076740e-01,4.679997946712268764e-01,-2.363652226696888181e-01,2.576099925635146337e-01,3.985605949368494216e-01,1.041091093317450422e+00,4.887833285740832145e-02,1.497131346528169094e-01,4.499238364039243043e-02,3.058160171978891936e-02,9.867600239490739722e-02,-1.396839729984608765e-02,6.374044821316153797e-01,7.645594597693931155e-03,1.655416933238393340e-01,2.618434345200681621e-02
-2.519357951538447882e-01,9.681841927462084621e-03,-1.782710240071498989e-02,9.675312974147585177e-01,7.893096649005618692e-01,8.990916101087090828e-01,7.530677074766267687e-01,-3.641163218197816520e-01,2.435844266616894460e-01,1.203500960883134435e-01,7.022600054742795805e-01,-3.066882634750177639e-01,-8.734801270828740360e-02,-4.334734489767686494e-01,2.313559865181670228e-01,3.656263665978950334e-02,6.172968822415748624e-01,-3.065093425895807910e-01,-1.856204224898589938e-01,8.561466328467018383e-02,-2.134394066322222727e-01,4.679999984879987251e-01,-2.316540489537487757e-01,2.620326610171325732e-01,4.159822585281220397e-01,1.059344267053204502e+00,5.025804988014321434e-02,1.313585175549480399e-01,4.499993009611256284e-02,3.507181429563314273e-02,1.030900056910316054e-01,-1.083305784107633195e-02,6.517155456940777469e-01,7.925216533293661519e-03,1.665989107402132408e-01,2.726233918590732774e-02
-2.509226585142403376e-01,1.872885651275152732e-02,-1.684839113812714936e-02,9.676792759452521597e-01,7.863004937512947379e-01,8.984883394331794060e-01,7.523528996521436918e-01,-3.421636934850461054e-01,2.500815369410124833e-01,1.201057757786978264e-01,7.090906225440885002e-01,-3.205885343776602725e-01,-1.077764476817019007e-01,-4.132593316571813169e-01,2.384744226904019215e-01,3.672184381120232460e-02,6.273174615059188275e-01,-3.208488530100749858e-01,-1.953997735867980257e-01,9.174901256973833075e-02,-2.135857967459089124e-01,4.679999477322245860e-01,-2.281930637813717744e-01,2.619694920145848593e-01,4.326485425423168829e-01,1.073292956578637325e+00,5.111034889469109888e-02,1.154041394610750976e-01,4.499798129001555264e-02,4.006840461196303771e-02,1.056039158900583530e-01,-8.875848861161239958e-03,6.631997222422039151e-01,8.109263830801202375e-03,1.677256406943896938e-01,2.794197052554521152e-02
-2.476559073039978909e-01,2.640866769116315821e-02,-1.528787879827206951e-02,9.683673965030320518e-01,7.846174615739411884e-01,8.967848739555084325e-01,7.524403837444544330e-01,-3.188087080290802899e-01,2.508668753558856435e-01,1.190574133357337194e-01,7.093515787766935254e-01,-3.281576583089698129e-01,-1.100079905359099830e-01,-3.930094230117101017e-01,2.424385234019635349e-01,3.959107400039473673e-02,6.306349876522411302e-01,-3.302035483219292189e-01,-2.022461783989655260e-01,9.856975876356735555e-02,-2.083759604060949622e-01,4.679998587093264217e-01,-2.231955847323618125e-01,2.577740661807653710e-01,4.483496997547526952e-01,1.085549230515096442e+00,5.166463302333430818e-02,1.021856729492943566e-01,4.499455342754515169e-02,4.520031707114967323e-02,1.046290938265977688e-01,-9.367784977360363308e-03,6.719808624342207271e-01,8.112443369556803993e-03,1.684096162667632068e-01,2.811662978023210524e-02
-2.464056510760707641e-01,3.378521728885319764e-02,-1.409983793767661045e-02,9.684750945587883297e-01,7.820437981719013942e-01,8.961027280200984935e-01,7.523093904468487469e-01,-2.982976181524239490e-01,2.532418218457637704e-01,1.170350271852687307e-01,7.108349365464078362e-01,-3.351477199316229560e-01,-1.131043700256118001e-01,-3.730008430457914526e-01,2.474062044093200130e-01,4.156887709971089639e-02,6.335485473121253985e-01,-3.379615830868926696e-01,-2.075292829837790121e-01,1.041361667019793519e-01,-2.087248929553141563e-01,4.679999373472394919e-01,-2.195960297783474957e-01,2.565265009631482740e-01,4.644877766212041070e-01,1.094934830519355806e+00,5.212437486967216871e-02,9.114796974750985492e-02,4.499737557161327672e-02,5.023522849816598052e-02,1.067564205174424963e-01,-8.587367127095613811e-03,6.803945074472432797e-01,8.218660188327845534e-03,1.693739607667951730e-01,2.845652237847005189e-02
